病院から薬局への情報提供書をトレーシングレポートという。,false,トレーシングレポートは薬局から病院への情報提供である。[第1回p13]
テオフィリンは気管支拡張剤であり、ハイリスク医薬品に含まれる。,true,そのとおり。[第2回p22]
シスプラチン(ランダ注)は抗悪性腫瘍剤であり、2℃以下で保存する。,false,2℃以下で保存すると溶解度が下がり析出してしまう。[第3回p5]
向精神薬のジアゼパムは水に不溶性であり、これを含むセルシン注の50%以上が有機溶媒で構成される。,true,セルシン注(ジアゼパム)は水分が多くなると析出するため、他剤と配合禁忌である。[第3回p6]
ペニシリン系抗生物質のアンピシリンナトリウムを含むビクシリン注は、溶解後1時間ほど放置してから使用するのが望ましい。,false,初濃度が高い場合は安定性が低いため、溶解後は速やかに使用する。[第3回p7]
インスリンはポリ塩化ビニル(PVC)に吸着しやすいため容器素材としてPVCは用いない。,true,インスリン、ジアゼパム、ニトログリセリンなどはポリ塩化ビニルに吸着しやすい。[第3回p8]
PPIであるオメプラゾール(オメプラール注)にはリン酸が配合されており、溶解後pHは5~6である。,false,オメプラール注には水酸化ナトリウムが配合され、溶解後pHは9.5~11である。変化点pHは5.28 [第3回p10]
CaやMg含有製剤では、リン酸や炭酸などを含む製剤と混合すると難溶性塩が析出する。,true,そりゃそうやな。[第3回p11]
"カルチコール注(グルコン酸カルシウム,Ca補給剤)とメイロン注(炭酸水素ナトリウム,アシドーシス治療薬)を混合すると難溶性塩が生じる。",true,CaCO3ができちゃうね。[第3回p13]
"アレビアチン注(フェニトインナトリウム,抗てんかん薬)は強アルカリ性であり、他剤と配合禁忌である。",true,フェニトインは難溶性であり、希釈され過ぎたり他剤との配合によりpHが低下すると析出する。変化点pHは10.71 [第3回p14]
すべての芽胞は100℃で不活性化できない。,true,"芽胞は強いよ。オートクレーブ(121℃,15min)や乾熱処理(180℃,30min)でさようなら[第3回p16]"
消毒用アルコールは真菌にも有効である。,true,そのとおり。[第3回p16]
結核菌に有効な消毒薬はない。,false,消毒用アルコール、グルタラール、フタラール、次亜塩素酸が有効。[第3回p16]
MRSAは乾燥表面で1週間以上生存できる。,true,1週間～7か月生存可能。怖いね。[第3回p18]
汚染危険度分類及び医療器具類を基にした感染の危険度による医療器具の分類では、Spaulding(スポルティング)分類が主に使われる。,true,そのとおり。ちなみにフルネームはアール・スポルティングさん。[第3回p23]
Spaulding分類では、クリティカル、セミクリティカル、ノンクリティカルに分類され、体温計はノンクリティカル器具に含まれる。,false,体温計はセミクリティカル器具。「粘膜又は健常でない皮膚に接触するもの」とされる。[第3回p23]
次亜塩素酸系は高水準消毒に分類される。,false,次亜塩素酸系は中水準消毒。必ずしも芽胞を殺滅しない。[第3回p24]
基本的にウイルスは高水準消毒薬を用いる必要がある。,false,一般的にウイルスは中水準消毒薬で十分である。高水準を用いる必要があるのは芽胞。[第3回p25]
アルコール過敏の人の注射部位の皮膚消毒には、クロルヘキシジン0.1~0.5%が使用される。,true,そのとおり。[第3回p48]
消毒用エタノールは約90v/v%である。,false,消毒用エタノールは76.9~81.4v/v%である。[第3回p49]
エタノールやポピドンヨードなどの皮膚消毒は、乾くときに十分な効果が得られる。,true,そのとおり。[第3回p48]
金属器具の消毒には次亜塩素酸ナトリウムを用いる。,false,次亜塩素酸ナトリウムや過酢酸は金属器具を腐食させるため使用不可。[第3回p61]
繊維や布などの消毒には塩化ベンザルコニウムは不適である。,true,塩化ベンザルコニウムは繊維や布などに吸着して効果が低下する。[第3回p61]
グルタラールはアナフィラキシーショックを起こす可能性がある。,false,アナフィラキシーショックの可能性があるのはフタラール。グルタラールは肺や気管支の局所的炎症、皮膚過敏症状などの危険性がある。[第3回p63]
ホルムアルデヒドは発がん性がある。,true,ホルムアルデヒドは発がん性の他に、ガス接触部の紅斑などが起こる可能性がある。[第3回p63]
クロルヘキシジン0.5%液は創部消毒に有効である。,false,創部消毒に用いられるには0.05%。0.5%だとショックの危険性がある。[第3回p64]
クロルヘキシジン0.2%液は結膜嚢に有効である。,false,結膜嚢の消毒に用いられるのは0.02%。0.2%では重篤な眼障害が生じる。[第3回p64]
標準予防策では、感染の有無に関わらず、すべての患者の血液や汗、排泄物などを感染性として取り扱う。,false,汗は除く。[第3回p76]
結核、水痘、風疹の患者に接する時はN95マスクをする。,false,飛沫核感染するのは、結核、水痘、麻疹である。[第3回p97]
MRSAなどの多剤耐性菌の感染患者に接するときは手袋が必須である。,true,多剤耐性菌の他に、クロストリジウム・ディフィシルやロタウイルスは手袋が必須。[第3回p101]
患者の基本的権利はヘルシンキ宣言に記載されている。,false,患者の基本的権利はリスボン宣言。ヘルシンキ宣言はヒトを対象とする医学研究の倫理的原則を定めている。[第3回p5]
